"Strain" "type" "clade" "env" "genus" "species" "SITE" "PLOT" "TREE" "SPE" "BATCH" "SAMPLE" "TEMP" "DAY" "DAY14" "DATE"
"256" "NZ_LMMX01000020_1_8008_12166_Methylobacterium_sp__Leaf102_contig_27_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"257" "NZ_LMMI01000032_1_8049_12207_Methylobacterium_sp__Leaf87_contig_38_whole_genome_shotgun_sequence" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"258" "NZ_LMNG01000020_1_8006_12164_Methylobacterium_sp__Leaf112_contig_27_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"259" "J_090" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-B" "20" "307" "311" "20-06-18"
"260" "DNA018" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-10" "OSVI" "Iso-2018" "MSH-H0-10-B" "20" "365" "361" "17-08-17"
"261" "NZ_LMMU01000005_1_7150_11308_Methylobacterium_sp__Leaf99_contig_13_whole_genome_shotgun_sequence" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"262" "NZ_VRUZ01000027_1_34538_38696_Methylobacterium_sp__WL69_NODE_27_length_46931_cov_16_7358_WL69_sp" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"263" "NZ_JAAHTB010000003_1_124410_128568_Methylobacterium_sp__BTF04_contig00003_whole_genome_shotgun_s" "ref" "A1" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"264" "NZ_LMNL01000018_1_8171_12329_Methylobacterium_sp__Leaf117_contig_25_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"265" "NZ_LMNJ01000011_1_8180_12338_Methylobacterium_sp__Leaf113_contig_19_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"266" "NZ_LMND01000006_1_28294_32453_Methylobacterium_sp__Leaf108_contig_14_whole_genome_shotgun_sequen" "ref" "A3" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"267" "NZ_LMRC01000005_1_62464_66623_Methylobacterium_sp__Leaf466_contig_13_whole_genome_shotgun_sequen" "ref" "A3" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"268" "NZ_LMQK01000002_1_72972_77131_Methylobacterium_sp__Leaf399_contig_10_whole_genome_shotgun_sequen" "ref" "A3" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"269" "NZ_LMMZ01000017_1_10747_14906_Methylobacterium_sp__Leaf104_contig_24_whole_genome_shotgun_sequen" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"270" "NZ_LMNU01000021_1_8156_12315_Methylobacterium_sp__Leaf125_contig_28_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"271" "J_056" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-D" "30" "354" "361" "06-08-18"
"272" "J_153" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-03" "ACSA" "Iso-2019-2" "MSH-03-03-A" "20" "314" "311" "27-06-18"
"273" "J_084" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-B" "30" "314" "311" "27-06-18"
"274" "LYS027" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-7" "FAGR" "Iso-2018" "MSH-L0-7-C" "30" "365" "361" "17-08-17"
"275" "NZ_PDHT01000013_1_137267_141426_Methylobacterium_sp__V23_contig_13_whole_genome_shotgun_sequence" "ref" "A1" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"276" "DNA014" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-2" "ACSA" "Iso-2018" "MSH-H0-2-C" "20" "365" "361" "17-08-17"
"277" "DNA006" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-1" "ACSA" "Iso-2018" "MSH-H0-1-A" "30" "365" "361" "17-08-17"
"278" "LYS083" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-2" "ACSA" "Iso-2018" "MSH-L0-2-C" "30" "365" "361" "17-08-17"
"279" "DNA010" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-1" "ACSA" "Iso-2018" "MSH-L0-1-C" "30" "365" "361" "17-08-17"
"280" "DNA001" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-1" "ACSA" "Iso-2018" "MSH-H0-1-C" "20" "365" "361" "17-08-17"
"281" "J_108" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-04" "OSVI" "Iso-2019-2" "MSH-04-04-A" "30" "314" "311" "27-06-18"
"282" "E_132" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-02" "ACSA" "Iso-2019-2" "MSH-03-02-B" "30" "314" "311" "27-06-18"
"283" "DNA024" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-6" "ACPE" "Iso-2018" "MSH-H0-6-B" "20" "365" "361" "17-08-17"
"284" "LYS051" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-10" "OSVI" "Iso-2018" "MSH-H0-10-B" "20" "365" "361" "17-08-17"
"285" "NZ_QJTP01000010_1_123191_127350_Methylobacterium_sp__GV094_Ga0189709_110_whole_genome_shotgun_se" "ref" "A1" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"286" "NZ_QAYK01000010_1_123191_127350_Methylobacterium_sp__GV104_Ga0189710_110_whole_genome_shotgun_se" "ref" "A1" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"287" "NZ_LMRA01000018_1_8064_12223_Methylobacterium_sp__Leaf465_contig_25_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"288" "NZ_LMNE01000029_1_8064_12223_Methylobacterium_sp__Leaf111_contig_35_whole_genome_shotgun_sequenc" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"289" "NZ_LMRM01000033_1_8064_12223_Methylobacterium_sp__Leaf94_contig_39_whole_genome_shotgun_sequence" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"290" "NZ_LMMK01000043_1_8028_12187_Methylobacterium_sp__Leaf88_contig_48_whole_genome_shotgun_sequence" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"291" "NZ_LMML01000024_1_6515_10674_Methylobacterium_sp__Leaf89_contig_30_whole_genome_shotgun_sequence" "ref" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"292" "J_068" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-06" "MSH-06-06" "FAGR" "Iso-2019-1" "MSH-06-06-D" "30" "354" "361" "06-08-18"
"293" "J_078" "strain" "A1" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-H" "30" "427" "427" "18-10-18"
"294" "E_045" "strain" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-B" "20" "314" "311" "27-06-18"
"295" "NZ_KI912577_1_3105319_3109477_Methylobacterium_sp__10_K368DRAFT_scaffold00001_1_whole_genome_sho" "ref" "A2" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"296" "NZ_LMNB01000014_1_9514_13672_Methylobacterium_sp__Leaf106_contig_21_whole_genome_shotgun_sequenc" "ref" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"297" "J_112" "strain" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-05" "QURU" "Iso-2019-2" "MSH-04-05-A" "30" "314" "311" "27-06-18"
"298" "NZ_AQVT01000001_1_2744150_2748308_Methylobacterium_sp__88A_A3OMDRAFT_contig1_1_C_whole_genome_sh" "ref" "A2" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"299" "NZ_LMME01000021_1_8230_12388_Methylobacterium_sp__Leaf85_contig_28_whole_genome_shotgun_sequence" "ref" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"300" "NZ_VRVC01000093_1_8287_12445_Methylobacterium_sp__WL19_NODE_93_length_20677_cov_14_836_WL19_spad" "ref" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"301" "LYS069" "strain" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-2" "ACSA" "Iso-2018" "MSH-L0-2-C" "20" "365" "361" "17-08-17"
"302" "LYS093" "strain" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-5" "ACPE" "Iso-2018" "MSH-H0-5-A" "30" "365" "361" "17-08-17"
"303" "J_047" "strain" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-F" "30" "386" "393" "07-09-18"
"304" "NZ_LMMS01000016_1_10973_15131_Methylobacterium_sp__Leaf93_contig_23_whole_genome_shotgun_sequenc" "ref" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"305" "NZ_KB910516_1_1770471_1774629_Methylobacterium_sp__77_scaffold1_whole_genome_shotgun_sequence" "ref" "A2" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"306" "NZ_LMMG01000019_1_8239_12366_Methylobacterium_sp__Leaf86_contig_26_whole_genome_shotgun_sequence" "ref" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"307" "NZ_LMMP01000021_1_11286_15444_Methylobacterium_sp__Leaf91_contig_28_whole_genome_shotgun_sequenc" "ref" "A2" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"308" "E_123" "strain" "A5b" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-03" "ACRU" "Iso-2019-2" "SBL-01-03-D" "30" "333" "333" "16-07-18"
"309" "NZ_VZZK01000063_1_7208_11368_Methylobacterium_soli_strain_YIM_48816_Scaffold63_whole_genome_shot" "ref" "A5b" "SOIL" "Methylobacterium" "soli" NA NA NA NA NA NA NA NA NA NA
"310" "NZ_VZZJ01000047_1_6766_10926_Methylobacterium_sp__YIM_132548_Scaffold47_whole_genome_shotgun_seq" "ref" "A5b" "LICHEN-FUNGI" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"311" "NZ_CABFPH010000026_1_6274_10429_Methylobacterium_symbioticum_strain_SB0023_3_whole_genome_shotgu" "ref" "A8" "LICHEN-FUNGI" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"312" "NZ_CABFVH010000028_1_7718_11873_Methylobacterium_dankookense_strain_SW08_7_whole_genome_shotgun" "ref" "A8" "ANTHROPO/WATER" "Methylobacterium" "dankookense" NA NA NA NA NA NA NA NA NA NA
"313" "NZ_CP029551_1_4749958_4754089_Methylobacterium_sp__17Sr1_43_chromosome_complete_genome" "ref" "A7" "ANTHROPO/SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"314" "NZ_LSIX01000319_1_15792_19923_Methylobacterium_sp__CCH5_D2_CCH5_D2_contig324_whole_genome_shotgu" "ref" "A7" "ANTHROPO/WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"315" "NZ_VRVE01000031_1_24664_28816_Methylobacterium_sp__WL9_NODE_31_length_42379_cov_18_2975_WL9_spad" "ref" "A4" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"316" "NZ_BJZT01000026_1_7958_12110_Methylobacterium_haplocladii_strain_NBRC_107714_sequence026_whole_g" "ref" "A4" "PHYLLOSPHERE" "Methylobacterium" "haplocladii" NA NA NA NA NA NA NA NA NA NA
"317" "NZ_JACIDN010000010_1_8373_12526_Methylobacterium_brachythecii_strain_DSM_24105_Ga0373233_10_whol" "ref" "A4" "PHYLLOSPHERE" "Methylobacterium" "brachythecii" NA NA NA NA NA NA NA NA NA NA
"318" "NZ_BJZV01000018_1_7974_12126_Methylobacterium_gnaphalii_strain_NBRC_107716_sequence018_whole_gen" "ref" "A4" "PHYLLOSPHERE" "Methylobacterium" "gnaphalii" NA NA NA NA NA NA NA NA NA NA
"319" "NZ_SACP01000004_1_249086_253212_Methylobacterium_sp__TER_1_NODE_4_length_292961_cov_50_whole_gen" "ref" "C" "ANTHROPO/WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"320" "NZ_SRLB01000011_1_260195_264311_Methylobacterium_sp__6HR_1_contig11_whole_genome_shotgun_sequenc" "ref" "C" "ANTHROPO/SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"321" "NZ_QOWC01000157_1_6274_10413_Methylobacterium_crusticola_strain_MIMD6_contig157_whole_genome_sho" "ref" "C" "SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"322" "NZ_LABY01000252_1_7711_11832_Methylobacterium_variabile_strain_DSM_16961_contig_252_whole_genome" "ref" "C" "ANTHROPO/WATER" "Methylobacterium" "variabile" NA NA NA NA NA NA NA NA NA NA
"323" "NZ_CP029553_1_4111539_4115660_Methylobacterium_terrae_strain_17Sr1_28_chromosome_complete_genome" "ref" "C" "ANTHROPO/SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"324" "NZ_FOEB01000013_1_92220_96336_Methylobacterium_sp__ap11_whole_genome_shotgun_sequence" "ref" "C" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"325" "NZ_FONO01000007_1_212103_216224_Methylobacterium_sp__yr596_whole_genome_shotgun_sequence" "ref" "C" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"326" "NZ_AP014704_1_5228704_5232825_Methylobacterium_aquaticum_strain_MA_22A" "ref" "C" "PHYLLOSPHERE" "Methylobacterium" "aquaticum" NA NA NA NA NA NA NA NA NA NA
"327" "NZ_LDRM01000196_1_8716_12837_Methylobacterium_indicum_strain_NS229_contig_196_whole_genome_shotg" "ref" "C" "SEED" "Methylobacterium" "indicum" NA NA NA NA NA NA NA NA NA NA
"328" "NZ_LDRN01000059_1_8716_12837_Methylobacterium_indicum_strain_NS230_contig_59_whole_genome_shotgu" "ref" "C" "SEED" "Methylobacterium" "indicum" NA NA NA NA NA NA NA NA NA NA
"329" "NZ_LDRL01000023_1_104721_108842_Methylobacterium_indicum_strain_NS228_contig_23_whole_genome_sho" "ref" "C" "SEED" "Methylobacterium" "indicum" NA NA NA NA NA NA NA NA NA NA
"330" "NZ_JTHG01000082_1_19595_23716_Methylobacterium_platani_strain_SE3_6_contig_82_whole_genome_shotg" "ref" "C" "SEED" "Methylobacterium" "platani" NA NA NA NA NA NA NA NA NA NA
"331" "NZ_JTHF01000175_1_8125_12246_Methylobacterium_platani_strain_SE2_11_contig_175_whole_genome_shot" "ref" "C" "SEED" "Methylobacterium" "platani" NA NA NA NA NA NA NA NA NA NA
"332" "NZ_JXOD01000161_1_8006_12133_Methylobacterium_platani_JCM_14648_contig_161_whole_genome_shotgun" "ref" "C" "PHYLLOSPHERE" "Methylobacterium" "platani" NA NA NA NA NA NA NA NA NA NA
"333" "NZ_LWHQ01000087_1_9179_13306_Methylobacterium_platani_strain_PMB02_contig087_whole_genome_shotgu" "ref" "C" "PHYLLOSPHERE" "Methylobacterium" "platani" NA NA NA NA NA NA NA NA NA NA
"334" "NZ_VDDA01000004_1_415951_420072_Methylobacterium_sp__17Sr1_39_contig4_whole_genome_shotgun_seque" "ref" "C" "SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"335" "NZ_CP029552_1_4924622_4928749_Methylobacterium_sp__17Sr1_1_chromosome_complete_genome" "ref" "C" "SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"336" "NZ_FPCB01000067_1_8238_12365_Methylobacterium_sp__174MFSha1_1_whole_genome_shotgun_sequence" "ref" "C" "PLANT" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"337" "NZ_CP028843_1_2973917_2978038_Methylobacterium_currus_strain_PR1016A_chromosome_1" "ref" "C" "ANTHROPO" "Methylobacterium" "currus" NA NA NA NA NA NA NA NA NA NA
"338" "NZ_LABX01000003_1_8702_12823_Methylobacterium_aquaticum_strain_DSM_16371_contig_3_whole_genome_s" "ref" "C" "ANTHROPO/WATER" "Methylobacterium" "aquaticum" NA NA NA NA NA NA NA NA NA NA
"339" "NZ_LABZ01000061_1_8025_12152_Methylobacterium_tarhaniae_strain_DSM_25844_contig_61_whole_genome" "ref" "C" "SOIL" "Methylobacterium" "tarhaniae" NA NA NA NA NA NA NA NA NA NA
"340" "NZ_JAAKGV010000048_1_8479_12606_Methylobacterium_sp__DB0501_contig48_whole_genome_shotgun_sequen" "ref" "C" "ANTHROPO" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"341" "NC_011894_1_2000606_2004765_Methylobacterium_nodulans_ORS_2060_complete_genome" "ref" "C" "RHIZHOSPHERE" "Methylobacterium" "nodulans" NA NA NA NA NA NA NA NA NA NA
"342" "NZ_KB900609_1_5465869_5469990_Methylobacterium_sp__WSM2598_MET2598DRAFT_scaffold1_1_whole_genome" "ref" "C" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"343" "NC_010511_1_432405_436560_Methylobacterium_sp__4_46_complete_sequence" "ref" "C" "RHIZHOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"344" "NZ_CAHM01000003_1_4015_8109_Microvirga_massiliensis_isolate_JC119_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "massiliensis" NA NA NA NA NA NA NA NA NA NA
"345" "NZ_CABMGP010000006_1_360894_364988_Microvirga_massiliensis_isolate_MGYG_HGUT_02310_whole_genome" "ref" "Microvirga" "-" "Microvirga" "massiliensis" NA NA NA NA NA NA NA NA NA NA
"346" "NZ_LN811355_1_360894_364988_Microvirga_massiliensis_strain_JC119_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "massiliensis" NA NA NA NA NA NA NA NA NA NA
"347" "NZ_QMKH01000014_1_4949_9045_Microvirga_sp__c27j1_contig14_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"348" "NZ_JAAAXI010000012_1_59177_63271_Microvirga_sp__SYSU_G3D207_Scaffold12_whole_genome_shotgun_sequ" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"349" "NZ_JAAAXJ010000010_1_59251_63345_Microvirga_sp__SYSU_G3D203_Scaffold10_whole_genome_shotgun_sequ" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"350" "NZ_CP016616_1_4419683_4423793_Microvirga_ossetica_strain_V5_3m_chromosome_complete_genome" "ref" "Microvirga" "-" "Microvirga" "ossetica" NA NA NA NA NA NA NA NA NA NA
"351" "NZ_VOSK01000148_1_3896_7992_Microvirga_tunisiensis_strain_Lmie10_NODE_148_length_16049_cov_79_10" "ref" "Microvirga" "-" "Microvirga" "tunisiensis" NA NA NA NA NA NA NA NA NA NA
"352" "NZ_VOSJ01000146_1_3987_8083_Microvirga_tunisiensis_strain_M8_NODE_146_length_16140_cov_91_9645_I" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"353" "NZ_JACHWB010000003_1_347060_351154_Microvirga_lupini_strain_AT3_9_Ga0372452_03_whole_genome_shot" "ref" "Microvirga" "-" "Microvirga" "lupini" NA NA NA NA NA NA NA NA NA NA
"354" "NZ_JPUG01000061_1_5274_9370_Microvirga_sp__BSC39_scf7180000028483_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"355" "NZ_JACIDC010000023_1_4624_8718_Microvirga_flocculans_strain_DSM_15743_Ga0373218_23_whole_genome" "ref" "Microvirga" "-" "Microvirga" "flocculans" NA NA NA NA NA NA NA NA NA NA
"356" "NZ_JAEA01000023_1_4617_8711_Microvirga_flocculans_ATCC_BAA_817_L879DRAFT_scaffold00022_22_C_whol" "ref" "Microvirga" "-" "Microvirga" "flocculans" NA NA NA NA NA NA NA NA NA NA
"357" "NZ_JABMLM010000247_1_5346_9457_Microvirga_sp__R24_845_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"358" "NZ_JH660645_1_2080543_2084639_Microvirga_lotononidis_strain_WSM3557_Micloscaffold_13_whole_genom" "ref" "Microvirga" "-" "Microvirga" "lotononidis" NA NA NA NA NA NA NA NA NA NA
"359" "NZ_QDGA01000069_1_13983_18079_Microvirga_calopogonii_strain_CCBAU_65841_65841_scaffold69_whole_g" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"360" "NZ_JACDXJ010000001_1_2255707_2259803_Microvirga_sp__Marseille_Q2068_NODE_1_length_4703417_cov_22" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"361" "NZ_FMVJ01000024_1_4159_8290_Microvirga_guangxiensis_strain_CGMCC_1_7666_whole_genome_shotgun_seq" "ref" "Microvirga" "-" "Microvirga" "guangxiensis" NA NA NA NA NA NA NA NA NA NA
"362" "NZ_QDAH01000080_1_4700_8826_Microvirga_sp__KLBC_81_81_scaffold80_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"363" "NZ_LCYG01000101_1_7950_12076_Microvirga_vignae_strain_BR3299_T20BR3299_1__paired__contig_101_who" "ref" "Microvirga" "-" "Microvirga" "vignae" NA NA NA NA NA NA NA NA NA NA
"364" "NZ_WURB01000001_1_35553_39690_Microvirga_makkahensis_strain_KCTC_23863_Scaffold1_whole_genome_sh" "ref" "Microvirga" "-" "Microvirga" "makkahensis" NA NA NA NA NA NA NA NA NA NA
"365" "NZ_SPJX01000306_1_4157_8294_Microvirga_pakistanensis_strain_NCCP_1258_C2069_whole_genome_shotgun" "ref" "Microvirga" "-" "Microvirga" "pakistanensis" NA NA NA NA NA NA NA NA NA NA
"366" "NZ_JAATJS010000010_1_8100_12231_Microvirga_sp__c23x22_contig10_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"367" "NZ_VCMV01000055_1_8013_12109_Microvirga_brassicacearum_strain_CDVBN77_NODE_58_length_65477_cov_3" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"368" "NZ_BJYU01000138_1_4118_8214_Microvirga_aerophila_strain_NBRC_106136_sequence138_whole_genome_sho" "ref" "Microvirga" "-" "Microvirga" "aerophila" NA NA NA NA NA NA NA NA NA NA
"369" "NZ_QOIO01000087_1_4789_8885_Microvirga_aerophila_strain_DSM_21344_contig87_whole_genome_shotgun" "ref" "Microvirga" "-" "Microvirga" "aerophila" NA NA NA NA NA NA NA NA NA NA
"370" "NZ_QQBB01000002_1_417331_421424_Microvirga_subterranea_strain_DSM_14364_Ga0244528_102_whole_geno" "ref" "Microvirga" "-" "Microvirga" "subterranea" NA NA NA NA NA NA NA NA NA NA
"371" "NZ_JABMLM010000237_1_4201_8294_Microvirga_sp__R24_825_whole_genome_shotgun_sequence" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"372" "NZ_CP045423_1_2479322_2483416_Microvirga_sp__HR1_chromosome_complete_genome" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"373" "NZ_CP029481_1_1695689_1699785_Microvirga_sp__17_mud_1_3_chromosome_complete_genome" "ref" "Microvirga" "-" "Microvirga" "sp." NA NA NA NA NA NA NA NA NA NA
"374" "NZ_JABEPP010000002_1_802747_806873_Enterovirga_sp__DB1703_contig2_whole_genome_shotgun_sequence" "ref" "Enterovirga" "-" "Enterovirga" "sp." NA NA NA NA NA NA NA NA NA NA
"375" "NZ_SNZR01000011_1_651430_655502_Enterovirga_rhinocerotis_strain_DSM_25903_Ga0310539_101_whole_ge" "ref" "Enterovirga" "-" "Enterovirga" "rhinocerotis" NA NA NA NA NA NA NA NA NA NA
